,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
251,(ISC)² Systems Security Certified Practitioner (SSCP),University of Colorado Boulder,COURSE,4.8,Beginner,230k
563,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.8,Beginner,28k
817,A Crash Course in Data Science,University of Colorado System,SPECIALIZATION,4.7,Beginner,55k
719,A Law Student's Toolkit,University of Pennsylvania,COURSE,4.8,Beginner,5.1k
66,AI For Everyone,Amazon Web Services,SPECIALIZATION,4.7,Beginner,250k
84,AI Foundations for Everyone,University of Michigan,SPECIALIZATION,4.8,Beginner,51k
149,AI for Medicine,University of Washington,SPECIALIZATION,4.8,Beginner,190k
51,AI in Healthcare,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate,200k
68,AWS Fundamentals,"University of California, Irvine",PROFESSIONAL CERTIFICATE,4.6,Beginner,150k
752,AWS Fundamentals: Addressing Security Risk,The University of Edinburgh,COURSE,4.8,Mixed,75k
336,AWS Fundamentals: Going Cloud-Native,Columbia University,COURSE,4.8,Beginner,55k
572,AWS IoT: Developing and Deploying an Internet of Things,University of Pennsylvania,COURSE,4.8,Beginner,43k
412,Aboriginal Worldviews and Education,Yale University,COURSE,4.8,Mixed,48k
89,Academic English: Writing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Beginner,180k
662,Access Controls,University of Pennsylvania,COURSE,4.8,Mixed,110k
498,Accounting Data Analytics,IE School of Architecture & Design,COURSE,4.8,Beginner,69k
616,Accounting for Decision Making,Google Cloud,COURSE,4.7,Beginner,22k
726,Accounting: Principles of Financial Accounting,University of Pennsylvania,COURSE,4.7,Beginner,9k
88,Achieving Personal and Professional Success,University of Michigan,COURSE,4.8,Mixed,950k
398,Addiction Treatment: Clinical Skills for Healthcare Providers,Ghent University,COURSE,4.8,Beginner,23k
637,Administración de Proyectos: Principios Básicos,University of Alberta,COURSE,4.7,Intermediate,54k
274,Advanced Business Analytics,DeepLearning.AI,COURSE,4.7,Intermediate,80k
763,Advanced Financial Reporting: Accounting for Business Combinations and Preparation of Consolidated Financial Statements,The University of Melbourne,SPECIALIZATION,4.6,Intermediate,66k
131,Advanced Machine Learning,University of Michigan,SPECIALIZATION,4.7,Beginner,37k
619,Advertising with Facebook,University of Illinois at Urbana-Champaign,COURSE,4.6,Beginner,44k
58,Agile Development,The Museum of Modern Art,SPECIALIZATION,4.8,Beginner,960k
345,Agile Leadership,Autodesk,SPECIALIZATION,4.7,Intermediate,70k
300,Agile Meets Design Thinking,University of Illinois at Urbana-Champaign,COURSE,4.7,Beginner,460k
167,Agile with Atlassian Jira,IBM,COURSE,4.7,Beginner,18k
671,Agile и Scrum в работе над проектами и продуктами,University of Toronto,COURSE,4.7,Mixed,53k
76,Algorithms,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,29k
475,American Contract Law I,Google Cloud,COURSE,4.7,Beginner,11k
836,An Introduction to Accessibility and Inclusive Design,Imperial College London,COURSE,4.7,Beginner,23k
275,An Introduction to American Law,West Virginia University,COURSE,4.7,Mixed,60k
296,An Introduction to Consumer Neuroscience & Neuromarketing,The University of Edinburgh,COURSE,4.7,Mixed,470k
196,An Introduction to Programming the Internet of Things (IOT),University of Washington,SPECIALIZATION,4.6,Intermediate,390k
138,Anatomy,University of Colorado Boulder,COURSE,4.8,Beginner,88k
686,"Anatomy of the Chest, Abdomen, and Pelvis",Alberta Machine Intelligence Institute,COURSE,4.8,Intermediate,15k
374,Android App Development,University of Colorado Boulder,SPECIALIZATION,4.7,Intermediate,92k
263,Animal Behaviour and Welfare,Technical University of Denmark (DTU),COURSE,4.7,Mixed,110k
767,Anticorrupción: Introducción a conceptos y perspectiva práctica,Google Cloud,SPECIALIZATION,4.8,Beginner,110k
872,Applied Cryptography,The State University of New York,SPECIALIZATION,4.4,Beginner,23k
17,Applied Data Science,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Beginner,510k
42,Applied Data Science with Python,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,190k
779,Applied Machine Learning in Python,University of Amsterdam,COURSE,4.9,Intermediate,7.3k
777,"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.6,Intermediate,220k
474,Apply Generative Adversarial Networks (GANs),University of Minnesota,SPECIALIZATION,4.6,Intermediate,62k
786,Applying Data Analytics in Marketing,École Polytechnique,COURSE,4.6,Mixed,110k
755,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),Eindhoven University of Technology,COURSE,4.9,Intermediate,49k
743,Architecting Hybrid Cloud Infrastructure with Anthos,ESSEC Business School,COURSE,4.7,Beginner,29k
15,Architecting with Google Compute Engine,IBM,SPECIALIZATION,4.6,Beginner,320k
638,Architecting with Google Compute Engine en Español,UNSW Sydney (The University of New South Wales),COURSE,4.7,Mixed,40k
735,Architecting with Google Compute Engine 日本語版,American Institute of Business and Economics,SPECIALIZATION,4.4,Intermediate,20k
769,Architecting with Google Kubernetes Engine en Español,ESSEC Business School,SPECIALIZATION,4.3,Advanced,74k
635,Artificial Intelligence in Marketing,Tecnológico de Monterrey,SPECIALIZATION,4.7,Beginner,110k
848,Aspectos básicos de la planificación y la gestión de proyectos,University of Michigan,COURSE,4.6,Intermediate,23k
754,Astrobiology and the Search for Extraterrestrial Life,Universiteit Leiden,COURSE,4.8,Beginner,17k
311,Autism Spectrum Disorder,Google Cloud,COURSE,4.5,Advanced,26k
661,Autodesk CAD/CAM for Manufacturing,Georgia Institute of Technology,COURSE,4.8,Mixed,150k
687,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,University of Amsterdam,COURSE,4.7,Mixed,93k
713,Basic Statistics,IBM,SPECIALIZATION,5,Beginner,50k
553,Bayesian Statistics: From Concept to Data Analysis,DeepLearning.AI,COURSE,4.5,Intermediate,19k
647,Bayesian Statistics: Techniques and Models,University of Colorado Boulder,COURSE,4.7,Beginner,110k
353,Become a Journalist: Report the News!,IBM,COURSE,4.7,Beginner,41k
623,Become a Sustainable Business Change Agent,The University of Sydney,COURSE,4.8,Beginner,21k
143,Become an EMT,Rutgers the State University of New Jersey,SPECIALIZATION,4.7,Beginner,14k
556,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,Georgia Institute of Technology,COURSE,4.7,Mixed,61k
420,Big Data – Introducción al uso práctico de datos masivos,Duke University,COURSE,4.6,Mixed,230k
395,Big History: Connecting Knowledge,IBM,COURSE,4.7,Beginner,110k
679,Biohacking Your Brain's Health,University of Virginia,COURSE,4.7,Beginner,63k
659,Biology Meets Programming: Bioinformatics for Beginners,Autodesk,SPECIALIZATION,4.6,Intermediate,4k
182,Blockchain,ESSEC Business School,COURSE,4.7,Beginner,22k
798,Blockchain Basics,University of Colorado System,SPECIALIZATION,4.8,Beginner,8.6k
211,Blockchain Revolution,University of Michigan,COURSE,4.5,Intermediate,560k
408,Blockchain Revolution in Financial Services,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,11k
816,Brand Identity and Strategy,Google Cloud,COURSE,4.6,Intermediate,92k
103,"Brand Management: Aligning Business, Brand and Behaviour",Stanford University,COURSE,4.7,Beginner,480k
241,Branding: The Creative Journey,"Goldsmiths, University of London",SPECIALIZATION,4.3,Beginner,58k
588,Bugs 101: Insect-Human Interactions,SAS,PROFESSIONAL CERTIFICATE,4.8,Intermediate,4.2k
166,Build Basic Generative Adversarial Networks (GANs),IESE Business School,SPECIALIZATION,4.8,Beginner,120k
320,Build Better Generative Adversarial Networks (GANs),University of Colorado Boulder,SPECIALIZATION,4.3,Advanced,11k
857,Build a Full Website using WordPress,"University of California, Davis",SPECIALIZATION,4.5,Intermediate,15k
287,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),IBM,PROFESSIONAL CERTIFICATE,4.7,Intermediate,12k
698,Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),Stanford University,COURSE,4.7,Advanced,74k
484,Building Containerized Applications on AWS,The State University of New York,SPECIALIZATION,4.7,Beginner,12k
760,Building Conversational Experiences with Dialogflow,The University of Melbourne,COURSE,4.9,Intermediate,46k
488,Building Scalable Java Microservices with Spring Boot and Spring Cloud,University of California San Diego,COURSE,4.6,Beginner,66k
842,Building Web Applications in PHP,Cresça com o Google,PROFESSIONAL CERTIFICATE,4.9,Beginner,9.7k
852,Building Your Leadership Skills,Saint Petersburg State University,COURSE,4.6,Beginner,9k
41,Business Analytics,Yale University,COURSE,4.8,Beginner,790k
626,Business English,Lund University,COURSE,4.6,Beginner,74k
141,Business English Communication Skills,University of Colorado System,SPECIALIZATION,4.8,Beginner,50k
633,Business English: Networking,University of Virginia,COURSE,4.7,Beginner,1.7k
21,Business Foundations,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,450k
422,Business Metrics for Data-Driven Companies,Saint Petersburg State University,COURSE,4,Beginner,52k
94,Business Statistics and Analysis,Google,COURSE,4.7,Beginner,250k
236,Business Strategies for A Better World,The University of Sydney,COURSE,4.8,Intermediate,98k
